Transaction ID,Transaction
1,"Desktop, Printer, Flash Drive, Microsoft Office, Speakers, Anti-Virus"
2,"Labtop, Flash Drive, Microsoft Office, Lab Top Case, Anti-Virus"
3,"Labtop, Printer, Flash Drive, Microsoft Office, Anti-Virus, Labtop Case, External Hard-Drive"
4,"Labtop, Printer, Flash Drive, Anti-Virus, External Hard-Drive, Labtop Case"
5,"Labtop, Flash Drive, Labtop Case, Anti-Virus"
6,"Laptop, Printer, Flash Drive, Microsoft Office"
7,"Desktop, Printer, Flash Drive, Microsoft Office"
8,"Labtop, External Hard-Drive, Anti-Virus"
9,"Desktop, Printer, Flash Drive, Microsoft Office, Lab Top Case, Anti-Virus, Speakers, External Hard-Drive"
10,"Digital Camera , Labtop, Desktop, Printer, Flash Drive, Microsoft Office, Lab Top Case, Anti-Virus, External Hard-Drive, Speakers"
11,"Labtop, Desktop, Labtop Case, External Hard-Drive, Speakers, Anti-Virus"
12,"Digital Camera , Labtop, Labtop Case, External Hard-Drive, Anti-Virus, Speakers"
13,"Digital Camera , Speakers"
14,"Digital Camera , Desktop, Printer, Flash Drive, Microsoft Office"
15,"Printer, Flash Drive, Microsoft Office, Anti-Virus, Labtop Case, Speakers, External Hard-Drive"
16,"Digital Camera, Flash Drive, Microsoft Office, Anti-Virus, Labtop Case, External Hard-Drive, Speakers"
17,"Digital Camera , Labtop, Labtop Case"
18,"Digital Camera , Labtop Case, Speakers"
19,"Digital Camera , Labtop, Printer, Flash Drive, Microsoft Office, Speakers, Labtop Case, Anti-Virus"
20,"Digital Camera , Labtop, Speakers, Anti-Virus, Lab Top Case"
